C:\Users\lees_\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lees_\PycharmProjects\KFGNet\results.py
max_iter=39
C:\Users\lees_\PycharmProjects\KFGNet\model.py:343: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  vmotion = torch.tensor(vmotion_list, dtype=torch.float32).to(device)
loss.mean() = 2.142463445663452, y_pred = [0.36040974 0.6395903 ], y_actual = tensor([1., 0.])
loss.mean() = 0.00489729642868042, y_pred = [1.00000000e+00 1.09818765e-17], y_actual = tensor([1., 0.])
loss.mean() = 0.0016744732856750488, y_pred = [1.000000e+00 4.152568e-34], y_actual = tensor([1., 0.])
loss.mean() = 0.0009814649820327759, y_pred = [1.0000000e+00 2.8463553e-38], y_actual = tensor([1., 0.])
loss.mean() = 0.0016775578260421753, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0008051246404647827, y_pred = [1.0000e+00 9.9286e-40], y_actual = tensor([1., 0.])
loss.mean() = 0.0018635094165802002, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.001966625452041626, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.002630278468132019, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0013499706983566284, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0035266131162643433, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0009533017873764038, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.002347990870475769, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0014084875583648682, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0013798177242279053, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0010894984006881714, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0012904703617095947, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 0.0009108036756515503, y_pred = [1. 0.], y_actual = tensor([1., 0.])
loss.mean() = 254.048828125, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 192.80552673339844, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 128.46771240234375, y_pred = [1. 0.], y_actual = tensor([0., 1.])
loss.mean() = 88.8029556274414, y_pred = [1.000000e+00 2.716849e-39], y_actual = tensor([0., 1.])
